---,Name,DistancePc,RaDeg,DecDeg,SpectralType,TeffK,RadiusSun,MassSun,Log10LumSun,PlanetCount
Kepler_754,Kepler-754,1770.27,293.254,37.8462,,5935,1.08,1.06,0.41554,1
Kepler_1925,Kepler-1925,1771.31,289.829,45.1027,,5856,1.092,1.057,0.36494,1
Kepler_1903,Kepler-1903,1775.44,290.888,51.2482,,6347,0.996,1.053,0.29209,1
Kepler_788,Kepler-788,1775.8,290,38.5399,,6159,1.23,1.16,0.33615,1
Kepler_745,Kepler-745,1780.38,291.499,37.0593,,5849,1.04,1.04,0.37557,1
Kepler_291,Kepler-291,1786.48,287.916,42.4373,,6002,1.016,1.023,0.07135,2
Kepler_238,Kepler-238,1798.75,287.897,40.6378,,5751,1.43,1.229,0.43048,5
Kepler_34,Kepler-34,1800.82,296.436,44.6415,,5913,1.1618,1.0479,0.173,1
Kepler_1844,Kepler-1844,1804.36,292.69,37.9346,,5776,0.849,0.939,0.22606,1
Kepler_35,Kepler-35,1819.17,294.497,46.6897,,5606,1.0284,0.8877,-0.027,1
Kepler_1609,Kepler-1609,1826.04,290.147,39.6658,,6132,1.27,1.18,0.48383,1
